city,city_eng,latitude,longitude,start_date,full_date
稚内,Wakkanai,45.4156,141.6734,511.0,515.0
旭川,Asahikawa,43.7709,142.365,503.0,504.0
網走,Abashiri,44.0206,144.2735,507.0,511.0
札幌,Sapporo,43.0618,141.3545,429.0,504.0
帯広,Obihiro,42.9233,143.1972,501.0,503.0
釧路,Kushiro,42.9849,144.3818,515.0,519.0
室蘭,Muroran,42.3152,140.9738,502.0,507.0
函館,Hakodate,41.7687,140.7291,427.0,501.0
青森,Aomori,40.8222,140.7474,419.0,425.0
秋田,Akita,39.72,140.1035,416.0,420.0
盛岡,Morioka,39.702,141.1543,416.0,421.0
山形,Yamagata,38.2554,140.3396,412.0,417.0
仙台,Sendai,38.2682,140.8694,407.0,412.0
福島,Fukushima,37.3834,140.1833,406.0,410.0
新潟,Niigata,37.9161,139.0364,406.0,412.0
金沢,Kanazawa,36.561,136.6566,401.0,407.0
富山,Toyama,36.6958,137.2137,401.0,408.0
長野,Nagano,36.1544,137.9218,409.0,415.0
宇都宮,Utsunomiya,36.5551,139.8826,328.0,404.0
福井,Fukui,36.0641,136.2196,331.0,406.0
前橋,Maebashi,36.3895,139.0634,328.0,404.0
熊谷,Kumagaya,36.1472,139.389,325.0,403.0
水戸,Mito,36.3659,140.4714,328.0,405.0
岐阜,Gifu,35.4234,136.7606,323.0,401.0
名古屋,Nagoya,35.1815,136.9066,322.0,402.0
甲府,Kofu,35.6621,138.5683,324.0,331.0
銚子,Choshi,35.734,140.8267,329.0,405.0
津,Tsu,34.7186,136.5052,328.0,402.0
静岡,Shizuoka,35.0929,138.319,321.0,331.0
東京,Tokyo,35.6804,139.769,321.0,329.0
横浜,Yokohama,35.4437,139.638,322.0,331.0
松江,Matsue,35.4682,133.0484,326.0,403.0
鳥取,Tottori,35.3573,133.4067,326.0,404.0
京都,Kyoto,35.0116,135.7681,324.0,403.0
彦根,Hikone,35.2744,136.2597,331.0,408.0
広島,Hiroshima,34.3853,132.4553,322.0,402.0
岡山,Okayama,34.8963,133.6375,326.0,404.0
神戸,Kobe,34.6901,135.1956,326.0,404.0
大阪,Osaka,34.6937,135.5023,326.0,403.0
和歌山,Wakayama,34.2304,135.1707,323.0,401.0
奈良,Nara,34.6851,135.8048,326.0,404.0
松山,Matsuyama,33.8394,132.7653,323.0,402.0
高松,Takamatsu,34.3425,134.0465,326.0,404.0
高知,Kōchi,33.5481,133.2522,319.0,328.0
徳島,Tokushima,33.942,134.3237,327.0,403.0
下関,Shimonoseki,33.9575,130.9412,325.0,402.0
福岡,Fukuoka,33.5663,130.7159,321.0,330.0
佐賀,Saga,33.3078,130.2271,322.0,331.0
大分,Ōita,33.1589,131.3611,323.0,403.0
長崎,Nagasaki,32.7503,129.8779,322.0,401.0
熊本,Kumamoto,32.8032,130.7079,321.0,401.0
鹿児島,Kagoshima,31.3912,130.8779,324.0,405.0
宮崎,Miyazaki,32.6036,131.4413,322.0,402.0
名瀬,Naze,35.4349,139.5356,121.0,202.0
石垣島,Ishigaki,24.4064,124.1754,117.0,209.0
宮古島,Miyako-jima,24.7674,125.3247,119.0,205.5
那覇,Naha,26.2126,127.679,115.0,205.0
南大東島,Minamidaitō-jima,25.8488,131.2507,122.0,205.0
