city_eng,start_median,full_median,bloom_median,city,latitude,longitude,bloom_median_cleaned
Wakkanai,512,515.0,2 days 00:00:00.000000000,稚内,45.4156,141.6734,2
Asahikawa,503,504.0,2 days 00:00:00.000000000,旭川,43.7709,142.365,2
Abashiri,508,511.0,2 days 00:00:00.000000000,網走,44.0206,144.2735,2
Sapporo,501,504.0,4 days 00:00:00.000000000,札幌,43.0618,141.3545,4
Obihiro,501,503.0,3 days 00:00:00.000000000,帯広,42.9233,143.1972,3
Kushiro,516,519.0,3 days 00:00:00.000000000,釧路,42.9849,144.3818,3
Muroran,503,507.0,5 days 00:00:00.000000000,室蘭,42.3152,140.9738,5
Hakodate,428,501.0,4 days 00:00:00.000000000,函館,41.7687,140.7291,4
Aomori,420,425.0,4 days 00:00:00.000000000,青森,40.8222,140.7474,4
Akita,416,420.0,4 days 00:00:00.000000000,秋田,39.72,140.1035,4
Morioka,417,421.0,5 days 00:00:00.000000000,盛岡,39.702,141.1543,5
Yamagata,413,417.0,4 days 00:00:00.000000000,山形,38.2554,140.3396,4
Sendai,407,412.0,5 days 00:00:00.000000000,仙台,38.2682,140.8694,5
Fukushima,406,410.0,4 days 00:00:00.000000000,福島,37.3834,140.1833,4
Niigata,407,412.0,5 days 00:00:00.000000000,新潟,37.9161,139.0364,5
Kanazawa,401,407.0,5 days 00:00:00.000000000,金沢,36.561,136.6566,5
Toyama,402,408.0,4 days 00:00:00.000000000,富山,36.6958,137.2137,4
Nagano,410,415.0,5 days 00:00:00.000000000,長野,36.1544,137.9218,5
Utsunomiya,328,404.0,6 days 00:00:00.000000000,宇都宮,36.5551,139.8826,6
Fukui,331,406.0,5 days 00:00:00.000000000,福井,36.0641,136.2196,5
Maebashi,328,404.0,7 days 00:00:00.000000000,前橋,36.3895,139.0634,7
Kumagaya,325,403.0,7 days 00:00:00.000000000,熊谷,36.1472,139.389,7
Mito,329,405.0,6 days 00:00:00.000000000,水戸,36.3659,140.4714,6
Gifu,323,401.0,8 days 00:00:00.000000000,岐阜,35.4234,136.7606,8
Nagoya,323,402.0,9 days 00:00:00.000000000,名古屋,35.1815,136.9066,9
Kofu,324,331.0,7 days 00:00:00.000000000,甲府,35.6621,138.5683,7
Choshi,330,405.0,7 days 00:00:00.000000000,銚子,35.734,140.8267,7
Tsu,328,402.0,5 days 00:00:00.000000000,津,34.7186,136.5052,5
Shizuoka,322,331.0,9 days 00:00:00.000000000,静岡,35.0929,138.319,9
Tokyo,321,329.0,6 days 00:00:00.000000000,東京,35.6804,139.769,6
Yokohama,323,331.0,7 days 00:00:00.000000000,横浜,35.4437,139.638,7
Matsue,326,403.0,6 days 00:00:00.000000000,松江,35.4682,133.0484,6
Tottori,326,404.0,7 days 00:00:00.000000000,鳥取,35.3573,133.4067,7
Kyoto,325,403.0,9 days 00:00:00.000000000,京都,35.0116,135.7681,9
Hikone,331,408.0,6 days 00:00:00.000000000,彦根,35.2744,136.2597,6
Hiroshima,323,402.0,9 days 00:00:00.000000000,広島,34.3853,132.4553,9
Okayama,326,404.0,7 days 00:00:00.000000000,岡山,34.8963,133.6375,7
Kobe,327,404.0,8 days 00:00:00.000000000,神戸,34.6901,135.1956,8
Osaka,326,403.0,7 days 00:00:00.000000000,大阪,34.6937,135.5023,7
Wakayama,324,401.0,9 days 00:00:00.000000000,和歌山,34.2304,135.1707,9
Nara,327,404.0,7 days 00:00:00.000000000,奈良,34.6851,135.8048,7
Matsuyama,324,402.0,9 days 00:00:00.000000000,松山,33.8394,132.7653,9
Takamatsu,326,404.0,8 days 00:00:00.000000000,高松,34.3425,134.0465,8
Kōchi,321,328.0,8 days 00:00:00.000000000,高知,33.5481,133.2522,8
Tokushima,327,403.0,8 days 00:00:00.000000000,徳島,33.942,134.3237,8
Shimonoseki,325,402.0,9 days 00:00:00.000000000,下関,33.9575,130.9412,9
Fukuoka,321,330.0,10 days 00:00:00.000000000,福岡,33.5663,130.7159,10
Saga,323,331.0,9 days 00:00:00.000000000,佐賀,33.3078,130.2271,9
Ōita,323,403.0,11 days 00:00:00.000000000,大分,33.1589,131.3611,11
Nagasaki,322,401.0,9 days 00:00:00.000000000,長崎,32.7503,129.8779,9
Kumamoto,321,401.0,10 days 00:00:00.000000000,熊本,32.8032,130.7079,10
Kagoshima,325,405.0,10 days 00:00:00.000000000,鹿児島,31.3912,130.8779,10
Miyazaki,322,402.0,10 days 00:00:00.000000000,宮崎,32.6036,131.4413,10
Naze,121,202.0,12 days 00:00:00.000000000,名瀬,35.4349,139.5356,12
Ishigaki,117,209.0,24 days 00:00:00.000000000,石垣島,24.4064,124.1754,24
Miyako-jima,119,205.5,18 days 00:00:00.000000000,宮古島,24.7674,125.3247,18
Naha,115,205.0,22 days 00:00:00.000000000,那覇,26.2126,127.679,22
Minamidaitō-jima,122,205.0,15 days 00:00:00.000000000,南大東島,25.8488,131.2507,15
